name,stores,lat,long
Alabama,39,32.806671,-86.79113
Alaska,25,61.370716,-152.404419
Arizona,248,33.729759,-111.431221
Arkansas,15,34.969704,-92.373123
California,2010,36.116203,-119.681564
Colorado,322,39.059811,-105.311104
Connecticut,76,41.597782,-72.755371
Delaware,16,39.318523,-75.507141
District of Columbia,65,38.897438,-77.026817
Florida,375,27.766279,-81.686783
Georgia,168,33.040619,-83.643074
Hawaii,59,21.094318,-157.498337
Idaho,39,44.240459,-114.478828
Illinois,412,40.349457,-88.986137
Indiana,140,39.849426,-86.258278
Iowa,40,42.011539,-93.210526
Kansas,45,38.5266,-96.726486
Kentucky,47,37.66814,-84.670067
Louisiana,42,31.169546,-91.867805
Maine,16,44.693947,-69.381927
Maryland,156,39.063946,-76.802101
Massachusetts,155,42.230171,-71.530106
Michigan,158,43.326618,-84.536095
Minnesota,115,45.694454,-93.900192
Mississippi,19,32.741646,-89.678696
Missouri,90,38.456085,-92.288368
Montana,13,46.921925,-110.454353
Nebraska,25,41.12537,-98.268082
Nevada,193,38.313515,-117.055374
New Hampshire,11,43.452492,-71.563896
New Jersey,146,40.298904,-74.521011
New Mexico,38,34.840515,-106.248482
New York,384,42.165726,-74.948051
North Carolina,132,35.630066,-79.806419
North Dakota,12,47.528912,-99.784012
Ohio,203,40.388783,-82.764915
Oklahoma,34,35.565342,-96.928917
Oregon,243,44.572021,-122.070938
Pennsylvania,183,40.590752,-77.209755
Rhode Island,14,41.680893,-71.51178
South Carolina,49,33.856892,-80.945007
South Dakota,13,44.299782,-99.438828
Tennessee,87,35.747845,-86.692345
Texas,604,31.054487,-97.563461
Utah,44,40.150032,-111.862434
Vermont,4,44.045876,-72.710686
Virginia,241,37.769337,-78.169968
Washington,559,47.400902,-121.490494
West Virginia,13,38.491226,-80.954453
Wisconsin,83,44.268543,-89.616508
Wyoming,9,42.755966,-107.30249
